Name,AWS Community Programs,Bio URL,Formula,Category,Category 1,Since Date,Formula 1,Date Created,Date Updated,Description,Image URL,Location,Recording date,Status,Tags
Dzenana Dzevlan,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/dzenana-dzevlan/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2024,,"October 30, 2024 8:41 PM (GMT+1)","November 6, 2024 7:11 PM (GMT+1)","<p>Dzenana is a co-founder and Technical Manager at allOps Solutions, APN Partner company. With extensive experience on large-scale projects, she ....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/dzenana-dzevlan/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/dzenana_dzevlan_new_picture-100.4c8cdbf61711a2107839cfd8b03203927bd88b1a.png,"Sarajevo, Bosnia and Herzegovina",,Next up,"Blogger|2024|Meetup Organizer|2024|Trainer / Educator|3000|Europe, Middle East, & Africa|emea|3000|AWS Community Hero|New|Conference Speaker|new"
Vadym Kazulkin,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/vadym-kazulkin/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2024,,"October 30, 2024 8:41 PM (GMT+1)","November 6, 2024 7:11 PM (GMT+1)","<p>Vadym Kazulkin is originally from Ukraine and is currently Head of Development at ip.labs,....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/vadym-kazulkin/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Vadym%20Kazulkin-100.4ded557b312dedf403d8e0e28973020e8b9707e1.png,"Bonn, Germany",,Next up,"2024|2024|Meetup Organizer|Blogger|AWS Serverless Hero|Technical Author|3000|Europe, Middle East, & Africa|emea|3000|New|Conference Speaker|new"
AJ Stuyvenberg,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/aj-stuyvenberg/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2023,,"June 2, 2023 11:11 PM (GMT+2)","November 6, 2024 7:11 PM (GMT+1)","<p>AJ Stuyvenberg is a Staff Engineer at Datadog, and has been a member of the Serverless community since early 2017...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/aj-stuyvenberg/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/aj_stuyvenberg_headshot-modified.67daef4af2cdbe4462a9911ac5134554a0d5038c.png,"  Boston, MA",,Next up,namer|North America|2023|United States|AWS Serverless Hero|Conference Speaker
Anahit Pogosova,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/anahit-pogosova/?did=dh_card&trk=dh_card,,AWS Data Hero,,Hero since 2021,,"June 3, 2021 8:05 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Anahit is a Lead Cloud Software Engineer at Solita, an AWS Advanced Consulting Partner…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/anahit-pogosova/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/anahit-pogosova.ee3cb65d8a20b38e3772915b49199522161fade7.png,"Tampere, Finland",,Next up,"2021|Europe, Middle East, & Africa|AWS Data Hero|Blogger|Technical Author|Conference Speaker"
Anders Bjørnestad,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/anders-bjornestad/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2018,,"February 19, 2019 8:55 PM (GMT+1)","December 12, 2024 6:53 PM (GMT+1)","<p>Alexey runs DataTalks.Club &mdash; a community of 60,000+ data enthusiasts....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/anders-bjornestad/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/alexey-grigorev-100.da345c2bf55113837fe5ea9aa68fd1f8efc71fc3.png,"Oslo, Norway",,Next up,"Meetup Organizer|Europe, Middle East, & Africa|AWS Community Hero|Trainer / Educator|2018|Conference Speaker"
Anton Babenko,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/anton-babenko?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2019,,"June 5, 2019 6:48 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Anton is a long time developer and CTO. He runs a consulting company...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/anton-babenko?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/anton_babenko-modified.23f367001f7b41365a69b092fe6ee43459ab31f9.png,"Oslo, Norway",,Next up,"Meetup Organizer|AWS Community Hero|Europe, Middle East, & Africa|2019|Open Source Contributor|Blogger|Technical Author|Conference Speaker"
Ben Kehoe,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/ben-kehoe/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2017,,"February 19, 2019 8:55 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Ben works in the field of Cloud Robotics, using the internet to enable robots to do more...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/ben-kehoe/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/benk-headshotcircle-100px.9530c035a77bdc67e38098ca2565b24782d5d2f2.png,"Boston, USA",,Next up,2017|North America|Americas|Blogger|Technical Author|Conference Speaker|AWS Serverless Hero
Bhuvaneswari Subramani,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/bhuvaneswari-subramani?did=dh_card&trk=dh_card,,AWS DevTools Hero,,Hero since 2019,,"June 5, 2019 6:47 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Bhuvaneswari Subramani is Director Engineering Operations at Infor, with...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/bhuvaneswari-subramani?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/bhuvanas-headshotcircle-100px.06d334d116d02fd51a784f64ac6765a79e4523d8.png,"Bengaluru, India",,Next up,Meetup Organizer|AWS DevTools Hero|Asia Pacific|2019|Blogger|Conference Speaker
Boyan Dimitrov,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/boyan-dimitrov/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2015,,"February 19, 2019 8:55 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Boyan is the Chief Technology Officer of SIXT, responsible for the company&rsquo;s tech vision and strategy. Prior to joining SIXT in 2015, Boyan...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/boyan-dimitrov/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/boyan-headshotcircle-100px.ab75a96438a16c21351609ff05ddffc3d4b70a6d.png,"Munich, Germany",,Next up,"Europe, Middle East, & Africa|AWS Community Hero|2015|Technical Author|Open Source Contributor|Conference Speaker"
Brian Hough,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/brian-hough/?did=dh_card&trk=dh_card,,AWS DevTools Hero,,Hero since 2023,,"August 31, 2023 9:02 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Brian H. Hough is the founder of the Tech Stack Playbook&reg;, a software ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/brian-hough/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/hero-sept-2023/Brian%20Hough_100.ad6bf866a512b5d990a9cc470ea3c8ca8f653ff6.png,"Boston, USA",,Next up,namer|North America|2023|AWS DevTools Hero|2023|Blogger|Conference Speaker
Brian Tarbox,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/brian-tarbox/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2019,,"November 6, 2019 6:19 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Brian has over thirty years experience delivering mission critical systems on-time, on-target and...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/brian-tarbox/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/brian-tarbox-circular-headshot.265f9909a087103813e7f9ec36b23448e0582bae.png,"Boston, USA",,Next up,Technical Author|Americas|North America|2019|AWS Community Hero|Meetup Organizer
Bryan Chasko,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/bryan-chasko/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2018,,"February 19, 2019 8:54 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Bryan Chasko is Chief Technology Officer at Electronic Caregiver, where he manages a multi...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/bryan-chasko/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/bryanc-headshotcircle-100px.17f2e5ad57585f85d5ed9f0527ade819e3e00475.png,"Las Cruces, USA",,Next up,North America|Trainer / Educator|Americas|AWS Community Hero|2018|Conference Speaker
Chris Farris,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/chris-farris/?did=dh_card&trk=dh_card,,AWS Security Hero,,Hero since 2023,,"July 24, 2023 9:44 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Chris Farris has been in IT since 1994, primarily focused on Linux, networking, and security. For the past eight years...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/chris-farris/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/secuirty/HeadShot_chris_farris-100.6f7cb8a8a9b83c5cc8c5eec3fdfc1799cd0ca051.png,"  Atlanta, USA",,Next up,"Meetup Organizer|North America|2023|2023|Trainer / Educator|Security, Identity, & Compliance|AWS Security Hero|Open Source Contributor|United States|Conference Speaker"
Chris Williams,"AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21), AWS User Group Leaders (https://www.notion.so/AWS-User-Group-Leaders-16181018ea0380f58ad5d335332ce0e9?pvs=21)",https://aws.amazon.com/developer/community/heroes/chris-williams/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2019,,"September 5, 2019 5:04 AM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Chris Williams is an Enterprise Architect for World Wide Technology...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/chris-williams/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/chriswilliams-headshotcircle-100px.eebb17257e6b0d706739f41c4d3e8e82c2b64612.png,"Portsmouth, USA",,Done,Meetup Organizer|North America|Americas|AWS Community Hero|Blogger|2019|Conference Speaker
Daniel Aniszkiewicz,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/daniel-aniszkiewicz/?did=dh_card&trk=dh_card,,AWS Security Hero,,Hero since 2024,,"March 4, 2024 5:22 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Daniel is a Senior Software Engineer at Algoteque International Hub, currently working with one of the UK&#39;s ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/daniel-aniszkiewicz/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Daniel%20Aniszkiewicz-100.98ee9f321d9cc498d8e584f7f583e80c4e8f01a0.png,"Wrocław, Poland",,Next up,"AWS Security Hero|Europe, Middle East, & Africa|2024|emea|Technical Author|Blogger|2024"
Danielle Heberling,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/danielle-heberling/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2023,,"June 6, 2023 11:17 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Danielle Heberling is a software engineer with a background that includes being a musician ....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/danielle-heberling/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/danielle-heberling-modified.44a3833df55fcfcc7cc804672562c909bc4ab3aa.png,"Hillsboro, USA",,Next up,North America|namer|Trainer / Educator|2023|United States|AWS Serverless Hero
Dipali Kulshrestha,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/dipali-kulshrestha/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2022,,"March 16, 2022 7:00 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Dipali is Vice President of Data Engineering at Natwest Group, with 18 years of…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/dipali-kulshrestha/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/dipali-kulshrestha.5b2c76df5e18fdbbd7640cc95d4865e22587ce67.png,"Delhi, India",,Next up,Meetup Organizer|Trainer / Educator|AWS Community Hero|Asia Pacific|Technical Author|Blogger|2022|Conference Speaker
Drew Firment,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/drew-firment/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2017,,"February 19, 2019 8:54 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Drew Firment is a managing partner at A Cloud Guru working with organizations that seek to...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/drew-firment/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/drewfi-headshotcircle-100px.4106bb5146f21e2e00d797a88b87e299857100f2.png,"Richmond, USA",,Next up,2017|North America|Trainer / Educator|Americas|AWS Community Hero|Blogger|Conference Speaker
Dzenan Dzevlan,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/dzenan-dzevlan/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2020,,"February 27, 2020 7:41 PM (GMT+1)","November 13, 2024 10:22 PM (GMT+1)","<p>Dzenan is currently working as a part of the Production Engineering team for <a href=""https://www.yahooinc.com/"" rel=""noopener"" target=""_blank"">Yahoo</a>. ..</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/dzenan-dzevlan/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/dzenan-dzevlan.3bc5fd7c9c9a29eecf4f7b869e05e9ef5c247396.png,"Mostar, Bosnia and Herzegovina",,Next up,"Meetup Organizer|AWS Community Hero|Trainer / Educator|2020|Europe, Middle East, & Africa|Blogger|Conference Speaker"
Eric Hammond,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/eric-hammond/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2014,,"February 19, 2019 8:54 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Eric Hammond has been an active user and supporter of AWS since 2007. An early pioneer in...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/eric-hammond/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/may-2024/eric-hammond-100.4fa36fa024cadae27e3ec37f53e9628413b78cc9.png,"Los Angeles, USA",,Next up,2014|North America|Americas|Blogger|AWS Serverless Hero
Filip Pyrek,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/filip-pyrek/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2022,,"March 16, 2022 7:00 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Filip Pyrek is Serverless Architect at Purple Technology, developing and operating…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/filip-pyrek/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/filip-pyrek.016a1496f09ca34459980d210d28286da865e0be.png,"Brno, Czech Republic",,Next up,"Meetup Organizer|Europe, Middle East, & Africa|Technical Author|Blogger|2022|AWS Serverless Hero"
Hiromi Ito,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/hiromi-ito/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2020,,"May 27, 2020 7:23 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Since joining the Japanese AWS user group (JAWS-UG) in 2014, Hiromi has been actively involved…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/hiromi-ito/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/hiromi-ito.f869e7287a98882abd2984334582a77d00f3233b.png,"Osaka, Japan",,Next up,Meetup Organizer|Asia Pacific|2020|AWS Community Hero|Blogger|Conference Speaker
Jeremy Daly,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/jeremy-daly/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2019,,"February 28, 2019 8:50 AM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>Jeremy is the CEO and Co-founder at <a href=""https://getampt.com"">Ampt</a>. He began building cloud-based applications with AWS in 2009, but after discovering Lambda&hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/jeremy-daly/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/jeremyd-headshotcircle-100px.69c3095406fda680fcdf8b5a782ae05cd910ba54.png,"Boston, USA",,Next up,Open Source Contributor|Americas|Blogger|North America|2019|AWS Serverless Hero|Conference Speaker|Trainer / Educator
Jimmy Dahlqvist,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/jimmy-dahlqvist/?did=dh_card&trk=dh_card,,AWS Serverless Hero,,Hero since 2024,,"August 29, 2024 7:41 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Jimmy is Lead Cloud Architect and Advisor at Sigma Technology Cloud, an AWS Advanced Tier Services Partner and one of Sweden&rsquo;s major consulting companies....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/jimmy-dahlqvist/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/q3/jimmy%20dahlqvist-100.80452ac668be09f30e1bdb3a7e857be3a980cbbf.png,"Malmö, Sweden",,Next up,"AWS Serverless Hero|Open Source Contributor|2024|Conference Speaker|Blogger|Meetup Organizer|Europe, Middle East, & Africa|2024|emea"
Johannes Koch,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/johannes-koch/?did=dh_card&trk=dh_card,,AWS DevTools Hero,,Hero since 2023,,"June 6, 2023 10:38 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Johannes is Sr. DevOps Engineer, Developer Experience, GTS at FICO where he contributes to ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/johannes-koch/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/headshot_johannes_koch-modified.d9e6d63d69c403eef784aa4b21559e866f8b4616.png,"Hessen, Germany",,Next up,"2023|Europe, Middle East, & Africa|AWS DevTools Hero|emea|Blogger|Conference Speaker"
John Varghese,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/john-varghese/?did=dh_card&trk=dh_card,,AWS Community Hero,,Hero since 2018,,"February 19, 2019 8:53 PM (GMT+1)","November 6, 2024 7:12 PM (GMT+1)","<p>John is a Principal DevOps Engineer at DNANexus, responsible for managing their...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/john-varghese/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/johnv-headshotcircle-100px.0ee23ec793ac1bad864eade170e67206c308598c.png,"Mountain View, USA",,Next up,Meetup Organizer|North America|Americas|AWS Community Hero|Trainer / Educator|2018|Open Source Contributor|Blogger|Technical Author|Conference Speaker
Julia Furst Morgado,AWS Heroes (https://www.notion.so/AWS-Heroes-16181018ea03801b852dcfe37a62ef04?pvs=21),https://aws.amazon.com/developer/community/heroes/julia-morgado/?did=dh_card&trk=dh_card,,AWS Container Hero,,Hero since 2024,,"June 3, 2024 5:16 PM (GMT+2)","November 6, 2024 7:12 PM (GMT+1)","<p>Julia is a Global Technologist on the Product Strategy team in the Office of the &hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/julia-morgado/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Julia-100.5b0b4d9c265272245b5345dc09a13ccb9b878b54.png,"New York City, USA",,Next up,americas|Meetup Organizer|Conference Speaker|2024|2024|United States|Technical Author|AWS Container Hero|Open Source Contributor|namer|North America|Americas|Blogger
